prd.mystore.in
🔍 Finding orders to send on_status...
📅 From date: 2025-05-01
📦 Found 129 order(s) to process.

+-----+--------------------------+----------+------------------+-----------+--------------------+
| #   | ONDC Order ID            | Order ID | Created At       | Status    | Fulfillment Status |
| 122 | 6822b9d17b54d627ef8b3221 | 1383     | 2025-05-13 08:48 | completed | Order-delivered    |
| 123 | 6822b9649d372788da00faa5 | 1382     | 2025-05-13 08:46 | completed | Order-delivered    |
| 124 | 6822b8e578d51fbe8d4d53fe | 1381     | 2025-05-13 08:44 | completed | Order-delivered    |
| 125 | 6822b856b4a1eac2446e03df | 1380     | 2025-05-13 08:41 | completed | Order-delivered    |
| 126 | 681b025b405458e09a3acd9c | 1379     | 2025-05-07 12:19 | completed | Order-delivered    |
| 127 | 681b01d3a14ae5a8d5005713 | 1378     | 2025-05-07 12:17 | completed | Order-delivered    |
| 128 | 681afd8a66c319644cd7bb75 | 1377     | 2025-05-07 11:58 | completed | Order-delivered    |
| 129 | 681afc6b405458e09a39290a | 1376     | 2025-05-07 11:54 | completed | Order-delivered    |
+-----+--------------------------+----------+------------------+-----------+--------------------+



prod.nirmitbap.ondc.org
🔍 Finding orders to send on_status...
📅 From date: 2025-11-01
📦 Found 451 order(s) to process.

+-----+-------------------+----------+------------------+-----------+--------------------+
| #   | ONDC Order ID     | Order ID | Created At       | Status    | Fulfillment Status |
+-----+-------------------+----------+------------------+-----------+--------------------+
| 1   | 2025-12-13-000011 | 2257     | 2025-12-13 07:56 | completed | Order-delivered    |
| 2   | 2025-12-12-000579 | 2256     | 2025-12-12 17:42 | completed | Order-delivered    |
| 3   | 2025-12-12-000498 | 2254     | 2025-12-12 16:53 | completed | Order-delivered    |
| 4   | 2025-12-12-000474 | 2253     | 2025-12-12 16:33 | completed | Order-delivered    |
| 5   | 2025-12-10-001054 | 2251     | 2025-12-10 22:38 | completed | Order-delivered    |
| 6   | 2025-12-10-000068 | 2250     | 2025-12-10 11:31 | completed | Order-delivered    |
| 7   | 2025-12-10-000019 | 2249     | 2025-12-10 09:52 | completed | Order-delivered    |
| 8   | 2025-12-09-000320 | 2245     | 2025-12-09 16:24 | completed | Order-delivered    |
| 9   | 2025-12-09-000299 | 2244     | 2025-12-09 15:55 | completed | Order-delivered    |
| 10  | 2025-12-09-000224 | 2243     | 2025-12-09 14:55 | completed | Order-delivered    |
| 11  | 2025-12-09-000166 | 2242     | 2025-12-09 13:52 | completed | Order-delivered    |
| 12  | 2025-12-08-000632 | 2239     | 2025-12-08 20:31 | completed | Order-delivered    |
| 13  | 2025-12-08-000466 | 2237     | 2025-12-08 18:38 | completed | Order-delivered    |
| 14  | 2025-12-08-000454 | 2236     | 2025-12-08 18:25 | completed | Order-delivered    |
| 15  | 2025-12-08-000441 | 2235     | 2025-12-08 18:05 | completed | Order-delivered    |
| 16  | 2025-12-08-000388 | 2233     | 2025-12-08 17:05 | completed | Order-delivered    |
| 17  | 2025-12-08-000366 | 2231     | 2025-12-08 16:47 | completed | Order-delivered    |
| 18  | 2025-12-08-000306 | 2228     | 2025-12-08 15:49 | completed | Order-delivered    |
| 19  | 2025-12-08-000229 | 2227     | 2025-12-08 14:45 | completed | Order-delivered    |
| 20  | 2025-12-08-000093 | 2226     | 2025-12-08 12:40 | completed | Order-delivered    |
| 21  | 2025-12-08-000059 | 2224     | 2025-12-08 11:56 | completed | Order-delivered    |
| 22  | 2025-12-08-000041 | 2223     | 2025-12-08 11:37 | completed | Order-delivered    |
| 23  | 2025-12-07-000022 | 2220     | 2025-12-07 10:12 | completed | Order-delivered    |
